original_model_code,device_name,announced_date,release_date,price,inferred_brand,source_url,processed_time,method_used,display_size,operating_system,chipset,storage,battery,dimensions,weight,network
SM-J415G,Samsung Galaxy J4+,"2018, September","Released 2018, October",About 220 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_j4+-9335.php,2025-07-16 15:22:48,google_gsmarena,"6.0 inches, 91.4 cm2(~73.6% screen-to-body ratio)",,Qualcomm MSM8917 Snapdragon 425 (28 nm),"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","Li-Ion 3300 mAh, non-removable",,178 g (6.28 oz),
KINGKONG POWER,Cubot KingKong Power,2023,Available. Released 2023,About 210 EUR,Cubot,https://www.gsmarena.com/cubot_kingkong_power-12303.php,2025-07-16 15:23:07,google_gsmarena,"6.5 inches, 102.0 cm2(~74.9% screen-to-body ratio)",,Mediatek MT8788V/WA,256GB 8GB RAM,10600 mAh,,382 g (13.47 oz),
SM-A217M,Samsung Galaxy A21s,"2020, May 15","Available. Released 2020, June 02",About 220 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_a21s-10239.php,2025-07-16 15:23:42,gsmchoice_gsmarena,"6.5 inches, 102.0 cm2(~82.8% screen-to-body ratio)",,Exynos 850 (8 nm),"32GB 2GB RAM, 32GB 3GB RAM, 32GB 4GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM, 128GB 3GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Li-Po 5000 mAh,,192 g (6.77 oz),
ZTE Blade V10,ZTE Blade V10 Vita,"2019, February","Released 2019, March",,ZTE,https://www.gsmarena.com/zte_blade_v10_vita-9715.php,2025-07-16 15:24:01,google_gsmarena,"6.26 inches, 97.8 cm2(~82.1% screen-to-body ratio)",,Unisoc SC9863A (28 nm),"32GB 2GB RAM, 64GB 3GB RAM","Li-Ion 3200 mAh, non-removable",,150 g (5.29 oz),
SM-A730F,Samsung Galaxy A8+ (2018),"2017, December","Released 2018, January",About 300 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_a8+_(2018)-8790.php,2025-07-16 15:24:20,google_gsmarena,"6.0 inches, 91.4 cm2(~75.5% screen-to-body ratio)",,Exynos 7885 (14 nm),"32GB 4GB RAM, 64GB 4GB RAM, 64GB 6GB RAM","Li-Ion 3500 mAh, non-removable",,191 g (6.74 oz),
W-V770,Wiko T3,"2021, December","Available. Released 2021, December",,Wiko,https://www.gsmarena.com/wiko_t3-11601.php,2025-07-16 15:24:36,google_gsmarena,"6.6 inches, 105.2 cm2(~83.7% screen-to-body ratio)",,Mediatek MT6765 Helio P35 (12 nm),128GB 4GB RAM,Li-Ion 5000 mAh,,188 g (6.63 oz),
Hisense H60 Smart,Infinix Hot 60,"2025, July 11","Available. Released 2025, July 15",About 110 EUR,Hisense,https://www.gsmarena.com/infinix_hot_60-14006.php,2025-07-16 15:25:24,gsmchoice_gsmarena,"6.7 inches, 108.4 cm2(~85.0% screen-to-body ratio)",,Mediatek Dimensity 7020 (6 nm),128GB 6GB RAM,5200 mAh,,193 g (6.81 oz),
ZTE 8050,ZTE Blade V50 Design 4G,"2023, October","Available. Released 2023, October",About 120 EUR,ZTE,https://www.gsmarena.com/zte_blade_v50_design_4g-12712.php,2025-07-16 15:25:39,google_gsmarena,"6.6 inches, 104.9 cm2(~83.6% screen-to-body ratio)",,Unisoc T606 (12 nm),"128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",Li-Po 5000 mAh,,207 g (7.30 oz),
SM-J810M,Samsung Galaxy J8,"2018, May","Released 2018, July",About 310 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_j8-9205.php,2025-07-16 15:26:24,gsmchoice_gsmarena,"6.0 inches, 91.4 cm2(~75.8% screen-to-body ratio)",,Qualcomm SDM450 Snapdragon 450 (14 nm),"32GB 3GB RAM, 64GB 4GB RAM","Li-Ion 3500 mAh, non-removable",,177 g (6.24 oz),
moto g(9) plus,Motorola Moto G9 Plus,"2020, September 07","Available. Released 2020, September 07",About 300 EUR,Motorola,https://www.gsmarena.com/motorola_moto_g9_plus-10432.php,2025-07-16 15:27:26,gsmchoice_gsmarena,"6.81 inches, 112.0 cm2(~84.3% screen-to-body ratio)",,Qualcomm SDM730 Snapdragon 730G (8 nm),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Li-Po 5000 mAh,,223 g (7.87 oz),
