original_model_code,device_name,announced_date,announced_date_source,price,is_closest_match,inferred_brand,source_url,processed_time,method_used
CPH2239,Oppo A54,"2021, March 26",gsmarena,About 160 EUR,False,OPPO,https://www.gsmarena.com/oppo_a54-10818.php,2025-07-16 19:51:30,google_gsmarena
23108RN04Y,Xiaomi Redmi 13C,"2023, November 10",gsmarena,$ 119.00 / € 99.99,False,Unknown,https://www.gsmarena.com/xiaomi_redmi_13c-12689.php,2025-07-16 19:52:14,gsmarena_direct
CPH2591,Oppo A18,"2023, September 27",gsmarena,,False,OPPO,https://www.gsmarena.com/oppo_a18-12591.php,2025-07-16 19:52:31,google_gsmarena
CPH2631,Oppo A60,"2024, April 26",gsmarena,$ 389.00 / € 155.00,False,OPPO,https://www.gsmarena.com/oppo_a60-12964.php,2025-07-16 19:52:50,google_gsmarena
23053RN02A,Xiaomi Redmi 12,"2023, June 15",gsmarena,$ 139.99 / € 107.54,False,Unknown,https://www.gsmarena.com/xiaomi_redmi_12-12328.php,2025-07-16 19:53:08,google_gsmarena
CPH2269,Oppo A16,"2021, July 17",gsmarena,$ 429.00 / € 124.99,False,OPPO,https://www.gsmarena.com/oppo_a16-11021.php,2025-07-16 19:53:25,google_gsmarena
CPH2387,Oppo A57 4G,"2022, May 27",gsmarena,$ 439.00 / € 159.90,False,OPPO,https://www.gsmarena.com/oppo_a57_4g-11565.php,2025-07-16 19:54:54,gsmarena_direct
V2111,vivo Y21,"2021, August 20",gsmarena,About 180 EUR,False,Vivo,https://www.gsmarena.com/vivo_y21-11063.php,2025-07-16 20:13:39,gsmarena_direct
CPH1931,Oppo A5 (2020),"2019, September 21",gsmarena,About 170 EUR,False,OPPO,https://www.gsmarena.com/oppo_a5_(2020)-9883.php,2025-07-16 20:21:19,gsmarena_direct
CPH2471,Apple Watch Ultra,"2022, September 07",gsmarena,About 550 EUR,False,OPPO,https://www.gsmarena.com/oppo_a96-11827.php,2025-07-16 20:30:26,gsmarena_direct
SM-A245F,Coolpad Cool 20+,"2023, April",gsmarena,About 130 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_a24-12421.php,2025-07-16 20:53:38,gsmarena_direct
SM-G991B,Samsung Galaxy S21 5G,"2021, January 14",gsmarena,$ 162.27 / € 209.99,False,Samsung,https://www.gsmarena.com/samsung_galaxy_s21-10626.php,2025-07-17 01:07:26,gsmarena_direct
